code,strategy,mse,mae
1216,garch,1.5057176246994738e-09,3.744895624586096e-05
1301,garch,6.543427404522925e-07,0.0007617899754059599
1303,garch,1.5822669837188746e-05,0.0029664130084289604
2002,garch,5.630183753588728e-08,0.00016356341079908822
2059,garch,2.883116895954546e-07,0.000489941134158183
2207,garch,1.4845158564343663e-07,0.0002993500369768339
2301,garch,8.805797465647591e-07,0.0008832298789368465
2303,garch,3.939613502208401e-07,0.0004853216625955838
2308,garch,7.500111838421466e-06,0.001957143568727632
2317,garch,1.6863804974112795e-06,0.0008914864017760512
2327,garch,1.1206026315046296e-07,0.00033298215562003666
2330,garch,9.311646798037221e-07,0.00069729112589538
2345,garch,1.970728913771435e-07,0.00033336990574254
2357,garch,2.9142010430930684e-07,0.00041444349917246033
2379,garch,3.3881440649170477e-08,0.00016879658610500912
2382,garch,5.5570562881125866e-08,0.000212452962798755
2383,garch,2.4049836568729383e-05,0.004350718839358189
2395,garch,4.158279026338093e-08,0.0001766017344893684
2412,garch,1.971073843912219e-09,3.864806065652554e-05
2454,garch,2.1825935822212025e-07,0.00042224913888426116
2603,garch,1.2219425000074896e-08,0.00010607287128045597
2609,garch,8.419736797972998e-08,0.00027395763926082344
2615,garch,1.4480522481450988e-06,0.0007631493636373973
2880,garch,2.1583377504309176e-08,0.00012802491410887908
2881,garch,2.5503691599403723e-07,0.0003696040933673981
2882,garch,8.281100808429687e-08,0.00019869140424353678
2883,garch,3.9202139090584076e-08,0.0001629200368655199
2884,garch,1.4306642762148433e-08,9.983364041824244e-05
2885,garch,1.8624306776245558e-07,0.0002884181922456052
2886,garch,5.990466755934686e-08,0.00021732658541783633
2887,garch,8.439334227887535e-09,8.357620172458696e-05
2890,garch,2.5971087521612308e-08,0.00010456464674634582
2891,garch,1.9058029477079198e-08,0.00011343758031725456
2892,garch,2.0948213796293723e-08,0.00013520134160190824
2912,garch,7.583240283343517e-09,6.00955003273938e-05
3008,garch,1.957541583458181e-07,0.0003580889764974231
3017,garch,6.269183990956071e-06,0.0019047652803249986
3034,garch,4.265868074190406e-09,5.6468498115402585e-05
3045,garch,5.385938804050694e-09,6.159641944396827e-05
3231,garch,5.33261831611473e-07,0.0006989762427462169
3661,garch,5.481302687900898e-06,0.0018715384400867566
4904,garch,4.18967721914858e-07,0.00032512839853321136
4938,garch,5.993633888906952e-08,0.00019811893209959307
5871,garch,2.7830198262471173e-08,0.00015692253539645795
5880,garch,2.1194552543887967e-08,0.00011796943174553128
6505,garch,4.133805125751626e-06,0.0018405197606150801
