number,value,state,duration,lr,dropout,hidden_size,ff_size
0,0.6479013562202454,COMPLETE,0 days 00:02:19.199168,0.003007343208401754,0.2,64,32
1,0.6508135199546814,COMPLETE,0 days 00:02:19.358777,0.007981182169049006,0.1,16,32
2,0.6284858584403992,COMPLETE,0 days 00:02:23.651376,0.0013221237460563553,0.2,16,32
3,0.6476516127586365,COMPLETE,0 days 00:02:25.457875,0.002759093139508753,0.1,64,32
4,0.650762140750885,COMPLETE,0 days 00:02:18.065176,0.007218441779728244,0.3,32,64
5,0.6363930702209473,COMPLETE,0 days 00:02:13.584955,0.0001794204653854714,0.3,32,64
6,0.6307410597801208,COMPLETE,0 days 00:02:23.375278,0.0003929961691987869,0.3,16,32
7,0.6507824659347534,COMPLETE,0 days 00:02:22.748004,0.003655370053575819,0.3,64,64
8,0.6283034086227417,COMPLETE,0 days 00:02:26.033813,0.0011133626652892312,0.3,64,32
9,0.6285664439201355,COMPLETE,0 days 00:02:24.416617,0.0013928061794220238,0.1,16,32
